policy_id,policy_name,policy_description,policy_category,department,region,effective_from
FIN001,Payroll Disbursement Policy,"Salaries are credited on the last working day of every month directly to the employee’s registered Indian bank account. Statutory deductions such as Provident Fund (PF), Employee State Insurance (ESI), professional tax, and income tax (TDS) are deducted as per applicable Indian labor and tax laws. Any additional deductions require prior written approval from the employee. Payroll processing and salary release are approved by the Finance Head and HR in accordance with company policy.”",payroll,finance,all,31/12/2025
FIN002,Incentive & Bonus Policy,"Employees who have completed a minimum of one year of continuous service are eligible for performance bonuses and incentives. Bonus amounts are calculated based on individual performance ratings, departmental targets, and overall company performance. Performance bonuses are paid annually along with the March payroll, while sales and role-based incentives are paid quarterly. All payments are made in accordance with company policy and applicable Indian labor and tax laws.",compensation,finance,all,31/12/2025
FIN003,TDS & Tax Deduction Policy,"The company deducts income tax at source (TDS) from employee salaries as per applicable Indian Income Tax laws. Employees are required to submit investment declarations and proof documents within the prescribed timelines. The company ensures timely deposit of TDS, filing of quarterly returns, and issuance of Form 16 to employees. All tax-related processes are managed by the Finance and HR departments in accordance with statutory requirements and compa",statutory,finance,all,31/12/2025
FIN004,Employee Loan & Advance Policy,"Employees who have completed a minimum of six months of service are eligible to apply for salary advances or emergency loans. Salary advances are limited to up to 50% of one month’s gross salary, while emergency loans may be granted based on genuine personal emergencies. All requests require approval from the Reporting Manager, HR, and Finance. Repayment is deducted from monthly salary in equal installments over a maximum period of six months, in accordance with company policy and applicable Indian labor and tax laws.",loans,finance,all,31/12/2025
FIN005,Travel & Expense Reimbursement Policy,"Employees traveling for official business must obtain prior approval from their Reporting Manager and HR. Travel arrangements such as flights, hotels, and local transport should be made as per company-approved limits. Expenses related to travel, accommodation, meals, and official conveyance are reimbursed upon submission of valid bills through the expense management system. Reimbursement claims must be submitted within 15 days of travel completion and are processed through payroll or bank transfer, in accordance with company policy and applicable Indian tax and labor laws.",expenses,finance,all,31/12/2025
FIN006,Corporate Credit Card Policy,"“Corporate credit cards are issued to eligible employees based on role requirements and business necessity, subject to approval from the Reporting Manager, HR, and Finance. The card may be used only for official business expenses such as travel, accommodation, meals, and approved client-related costs. Monthly spending limits are defined based on the employee’s designation. All expenses must be supported with valid bills and reconciled through the expense management system within 10 working days of the transaction. Misuse of the corporate credit card may result in disciplinary action, in accordance with company policy and applicable Indian financial and tax regulations",expenses,finance,all,31/12/2025
FIN007,Vendor Payment Policy,"Vendor payments are processed only against approved purchase orders, valid invoices, and confirmation of goods or services received. All invoices must be verified by the respective department and approved by the Reporting Manager and Finance. Vendor payments are released within 30 days from the date of invoice approval, through bank transfer, in accordance with company policy and applicable Indian financial and statutory regulations.”.",accounts,finance,all,31/12/2025
FIN008,Petty Cash Policy,"Petty cash is maintained to meet small, day-to-day official expenses. All petty cash expenditures must be supported by valid bills and approved by the Reporting Manager or Finance. A designated custodian is responsible for maintaining petty cash records and ensuring timely reconciliation. Petty cash is reconciled on a monthly basis and replenished upon verification, in accordance with company policy and applicable Indian financial regulations.”",accounts,finance,all,31/12/2025
FIN009,Internal Audit Policy,"The company conducts periodic internal audits to review financial records, operational controls, and statutory compliance. Internal audits are carried out annually or as required, covering adherence to company policies and applicable Indian laws. Audit findings are documented, reviewed by Senior Management, and corrective actions are implemented within defined timelines. Audit reports are maintained for regulatory and internal review purposes",audit,finance,all,31/12/2025
FIN010,Statutory Compliance Policy,"The company ensures full compliance with applicable Indian financial and statutory regulations, including income tax (TDS), Provident Fund (PF), Employee State Insurance (ESI), professional tax, and other mandatory contributions. All statutory payments, filings, and returns are completed within prescribed timelines. Compliance activities are monitored by the Finance and HR departments, in accordance with company policy and Indian laws.",statutory,finance,all,31/12/2025
FIN011,Capex & Purchase Approval Policy,"“All capital expenditure and purchase requests must be raised through the approved procurement system with proper business justification. Requests are reviewed and approved based on the purchase value and budget availability. Capital expenditure approvals require authorization from the Department Head, Finance, and Senior Management as per defined approval limits. No purchase commitment may be made without prior approval. All capital and purchase transactions are executed in accordance with company policy and applicable Indian financial and statutory regulations.”",procurement,finance,all,31/12/2025
FIN012,Retirement & Gratuity Fund Policy,"The normal retirement age for employees is 60 years, unless otherwise specified by role or statutory requirement. The company contributes to statutory retirement benefits including Provident Fund (PF) and Gratuity in accordance with applicable Indian laws. Provident Fund contributions are made at 12% of basic salary by both employer and employee. Gratuity is payable to employees who complete a minimum of five years of continuous service, calculated as per the Payment of Gratuity Act. Retirement benefits are disbursed within the statutory timelines after employee separation or retirement, in accordance with company policy and Indian labor laws.",benefits,finance,all,31/12/2025
FIN013,Expense Misuse & Fraud Policy,"Any suspected financial misuse or fraudulent expense claim must be immediately reported to the Reporting Manager, Finance, or HR. The company will conduct a formal investigation, including review of expense records, supporting documents, and employee statements. If misconduct is confirmed, disciplinary action may include recovery of amounts, written warnings, suspension, or termination of employment, in accordance with company policy and applicable Indian laws. Serious violations may be reported to statutory authorities where required",compliance,finance,all,31/12/2025
